order_event_id,signal_id,timestamp,market_id,mode,executor_type,limit_price,requested_size,filled_size,unfilled_size,avg_fill_price,order_status,cancel_reason,placed_at
c8656cb24905,147011b550e0,2026-03-17T17:13:09.036582+00:00,1608753,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:13:00.838709+00:00
e484f54687bb,3e33db3d55c8,2026-03-17T17:13:09.287324+00:00,1608749,PAPER,PAPER,0.9,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:13:00.993155+00:00
54a88ebdd67c,6216e9f50869,2026-03-17T17:18:08.831154+00:00,1608958,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:18:00.603693+00:00
0b033e41d5d3,d5dc7b28d264,2026-03-17T17:18:08.831762+00:00,1608952,PAPER,PAPER,0.89,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:18:00.639257+00:00
293fbf96c311,b692d15f677f,2026-03-17T17:18:09.186677+00:00,1608954,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:18:00.965581+00:00
a508fdd0dc3f,1bf9b19996c9,2026-03-17T17:18:57.174725+00:00,1608962,PAPER,PAPER,0.82,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:18:48.974719+00:00
8a0638933411,32c1036b6866,2026-03-17T17:18:58.895134+00:00,1608956,PAPER,PAPER,0.82,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:18:50.691801+00:00
536b776b1aee,76f9c8dc1ba2,2026-03-17T17:19:00.179491+00:00,1608955,PAPER,PAPER,0.82,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:18:52.006792+00:00
c92a67a223a1,39e1082d106b,2026-03-17T17:19:00.807531+00:00,1608957,PAPER,PAPER,0.82,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:18:52.524308+00:00
0b2f82ccecef,0bff1675f332,2026-03-17T17:23:08.338916+00:00,1608968,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:00.018858+00:00
d33ac90b38c3,28b96584ef08,2026-03-17T17:23:08.339467+00:00,1608966,PAPER,PAPER,0.9,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:00.028423+00:00
b2c7ed6dfff1,4fe8f194499d,2026-03-17T17:23:08.493634+00:00,1608969,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:00.103489+00:00
e178b63c2f28,1f5b381f6b86,2026-03-17T17:23:08.494168+00:00,1608972,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:00.215071+00:00
1fa170967b2b,37dd87c743e3,2026-03-17T17:23:08.494567+00:00,1608967,PAPER,PAPER,0.85,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:00.218458+00:00
11068d8c5991,6da52078a049,2026-03-17T17:23:08.593644+00:00,1608971,PAPER,PAPER,0.82,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:00.313055+00:00
cc2d6f46be43,ff03de9b0fa8,2026-03-17T17:23:08.594545+00:00,1608970,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:00.313319+00:00
253dbe91bee6,aa1275a6e2be,2026-03-17T17:23:46.260377+00:00,1608967,PAPER,PAPER,0.95,1.0,1.0,0.0,0.95,FILLED,,2026-03-17T17:23:40.881027+00:00
2e9ea2015831,c52fce45beac,2026-03-17T17:23:48.883136+00:00,1608970,PAPER,PAPER,0.88,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:40.685389+00:00
3592d940ba9f,4cc5095fed1e,2026-03-17T17:23:49.057833+00:00,1608968,PAPER,PAPER,0.96,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:40.879609+00:00
f812dd0b3384,395d31b7440f,2026-03-17T17:23:49.058355+00:00,1608972,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:40.880053+00:00
4eda7ff21a22,6c1d29d4523e,2026-03-17T17:23:49.058685+00:00,1608969,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:40.880453+00:00
a85bc9a91dc2,bdd067a6b78f,2026-03-17T17:23:49.058968+00:00,1608966,PAPER,PAPER,0.95,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:40.880789+00:00
b06ea6f04ee9,5d9e317098f0,2026-03-17T17:24:06.839115+00:00,1608971,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:23:58.634716+00:00
467d1da0deca,b48ab6b84b53,2026-03-17T17:28:07.884416+00:00,1609048,PAPER,PAPER,0.82,1.0,1.0,0.0,0.82,FILLED,,2026-03-17T17:28:06.369716+00:00
cacefbcb7721,6d8fe673e145,2026-03-17T17:28:08.280791+00:00,1609052,PAPER,PAPER,0.93,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:28:00.040463+00:00
cfec7d52609d,1292182a229b,2026-03-17T17:28:08.309748+00:00,1609047,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:28:00.083234+00:00
072ef320e413,36f48d7f433d,2026-03-17T17:28:08.310098+00:00,1609050,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:28:00.083683+00:00
0749b941a2ff,f9d533b11592,2026-03-17T17:28:08.730685+00:00,1609053,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:28:00.498784+00:00
848e311b311b,10c9852ae9b0,2026-03-17T17:28:12.172725+00:00,1609049,PAPER,PAPER,0.83,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:28:04.016270+00:00
60695eddd304,ade53d9de515,2026-03-17T17:28:30.126924+00:00,1609051,PAPER,PAPER,0.82,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:28:21.922298+00:00
f1379c511986,ad3ee136bd7f,2026-03-17T17:33:05.338232+00:00,1609070,PAPER,PAPER,0.82,1.0,1.0,0.0,0.82,FILLED,,2026-03-17T17:33:00.003963+00:00
1e3c0a53e46d,f22c6adb99e7,2026-03-17T17:33:08.179921+00:00,1609064,PAPER,PAPER,0.82,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:33:00.003299+00:00
c0ffc55be14e,8bcbcbdc07fd,2026-03-17T17:33:08.693781+00:00,1609062,PAPER,PAPER,0.89,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:33:00.456250+00:00
140f3d46ecb2,6722980d3456,2026-03-17T17:33:09.517043+00:00,1609058,PAPER,PAPER,0.82,1.0,1.0,0.0,0.8,FILLED,,2026-03-17T17:33:09.005462+00:00
23b8f246e4dd,254a073360f2,2026-03-17T17:33:25.184034+00:00,1609069,PAPER,PAPER,0.82,1.0,1.0,0.0,0.82,FILLED,,2026-03-17T17:33:23.384005+00:00
3fb913ae63c1,a5b581f2acef,2026-03-17T17:34:13.282357+00:00,1609060,PAPER,PAPER,0.82,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:34:05.102170+00:00
100bc72d4ebf,cd9be5b15bd5,2026-03-17T17:34:35.289349+00:00,1609068,PAPER,PAPER,0.82,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:34:27.097794+00:00
c2dc0107c773,129fc53d3b00,2026-03-17T17:38:08.215114+00:00,1609082,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:38:00.005057+00:00
68d30e9b36c3,50cb2539a85e,2026-03-17T17:38:08.216299+00:00,1609078,PAPER,PAPER,0.91,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:38:00.021506+00:00
fad1b4ba94de,c548de49fcd4,2026-03-17T17:38:08.381760+00:00,1609077,PAPER,PAPER,0.86,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:38:00.072384+00:00
8051ee6a2910,a0c119e90ca0,2026-03-17T17:38:08.382481+00:00,1609080,PAPER,PAPER,0.92,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:38:00.080389+00:00
843fc999b6a2,0492ecf37b5a,2026-03-17T17:38:08.976738+00:00,1609081,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:38:00.797724+00:00
0c1406bd9dc1,27f13745e9ae,2026-03-17T17:38:09.537617+00:00,1609076,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:38:01.354156+00:00
53f3902fcac1,d5005d96f6ec,2026-03-17T17:38:11.020015+00:00,1609079,PAPER,PAPER,0.9,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:38:02.795886+00:00
3719fe4f3754,9ea7c6f482fe,2026-03-17T17:43:04.983299+00:00,1609093,PAPER,PAPER,0.82,1.0,1.0,0.0,0.77,FILLED,,2026-03-17T17:43:02.945546+00:00
d102e40d81d6,f1a2fe02dfea,2026-03-17T17:43:06.430829+00:00,1609094,PAPER,PAPER,0.86,1.0,1.0,0.0,0.85,FILLED,,2026-03-17T17:43:00.041311+00:00
687f1e15608e,0222ee2051e6,2026-03-17T17:43:06.933574+00:00,1609092,PAPER,PAPER,0.9,1.0,1.0,0.0,0.76,FILLED,,2026-03-17T17:43:00.012394+00:00
89676a9a27fb,3ea902565535,2026-03-17T17:43:08.203674+00:00,1609095,PAPER,PAPER,0.9,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:43:00.011816+00:00
544c7408de37,45ce6f879b5c,2026-03-17T17:43:08.347281+00:00,1609097,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:43:00.077797+00:00
51b89d40c5e2,28597ae84717,2026-03-17T17:43:22.373805+00:00,1609096,PAPER,PAPER,0.82,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:43:14.057402+00:00
a6873277f164,a7c137db9dd0,2026-03-17T17:44:15.754520+00:00,1609098,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:44:07.498662+00:00
18997e0e0020,f0bf6f6db58d,2026-03-17T17:48:02.248119+00:00,1609124,PAPER,PAPER,0.82,1.0,1.0,0.0,0.79,FILLED,,2026-03-17T17:48:00.182424+00:00
1113cffd3e5d,a1082195b970,2026-03-17T17:48:07.934632+00:00,1609118,PAPER,PAPER,0.9,1.0,1.0,0.0,0.45,FILLED,,2026-03-17T17:48:00.440466+00:00
88fc55bbebca,31df07926cf9,2026-03-17T17:48:08.741895+00:00,1609116,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:48:00.417774+00:00
